url,prov,Kec,Nama File,Nama Feature
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Panyipatan\ptn_panyipatan.shp,Kalimantan Selatan,Panyipatan,ptn_panyipatan.shp,ptn_panyipatan
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Takisung\ptn_takisung.shp,Kalimantan Selatan,Takisung,ptn_takisung.shp,ptn_takisung
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Kelumpang Hilir\ptn_KelumpangHilir.shp,Kalimantan Selatan,Pulau_Hilir,ptn_KelumpangHilir.shp,ptn_KelumpangHilir
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Kelumpang Selatan\ptn_kelumpangSelatan.shp,Kalimantan Selatan,Pulau_Selatan,ptn_kelumpangSelatan.shp,ptn_kelumpangSelatan
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Tengah\ptn_pulauLautTengah.shp,Kalimantan Selatan,Pulau_Tengah,ptn_pulauLautTengah.shp,ptn_pulauLautTengah
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Timur\ptn_pulauLautTimur.shp,Kalimantan Selatan,Pulau_Timur,ptn_pulauLautTimur.shp,ptn_pulauLautTimur
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Utara\ptn_pulauLautUtara.shp,Kalimantan Selatan,Pulau_Utara,ptn_pulauLautUtara.shp,ptn_pulauLautUtara
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2013\Kabupaten Kotabaru\Kecamatan Pulau Laut Barat\ptn_pulauLautBarat.shp,Kalimantan Selatan,Pulau_Barat,ptn_pulauLautBarat.shp,ptn_pulauLautBarat
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2011\Kabupaten Berau\Kecamatan Batu Putih\ptn_batuPutih.shp,Kalimantan Timur,Batu_Putih,ptn_batuPutih.shp,ptn_batuPutih
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2011\Kabupaten Berau\Kecamatan Biduk Biduk\ptn_bidukBiduk.shp,Kalimantan Timur,Biduk,ptn_bidukBiduk.shp,ptn_bidukBiduk
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2011\Kabupaten Malinau\Kecamatan Bahau Hulu\ptn_bahauHulu.shp,Kalimantan Timur,Bahau_Hulu,ptn_bahauHulu.shp,ptn_bahauHulu
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2011\Kabupaten Malinau\Kecamatan Kayan Hilir\ptn_kayanHilir.shp,Kalimantan Timur,Kayan_Hilir,ptn_kayanHilir.shp,ptn_kayanHilir
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2011\Kabupaten Malinau\Kecamatan Pujungan\ptn_pujungan.shp,Kalimantan Timur,Pujungan,ptn_pujungan.shp,ptn_pujungan
F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2013\Kabupaten Paser\Kecamatan Grogot\ptn_grogot.shp,Kalimantan Timur,Grogot,ptn_grogot.shp,ptn_grogot
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2011\Kabupaten Berau\Kecamatan Batu Putih\ptn_batuPutih.shp,Kalimantan Timur,Batu_Putih,ptn_batuPutih.shp,ptn_batuPutih
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2011\Kabupaten Berau\Kecamatan Biduk Biduk\ptn_bidukBiduk.shp,Kalimantan Timur,Biduk,ptn_bidukBiduk.shp,ptn_bidukBiduk
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2011\Kabupaten Malinau\Kecamatan Bahau Hulu\ptn_bahauHulu.shp,Kalimantan Timur,Bahau_Hulu,ptn_bahauHulu.shp,ptn_bahauHulu
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2011\Kabupaten Malinau\Kecamatan Kayan Hilir\ptn_kayanHilir.shp,Kalimantan Timur,Kayan_Hilir,ptn_kayanHilir.shp,ptn_kayanHilir
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2011\Kabupaten Malinau\Kecamatan Pujungan\ptn_pujungan.shp,Kalimantan Timur,Pujungan,ptn_pujungan.shp,ptn_pujungan
F:\WP3WT\@ Integrasi Data\2014\Kaltim\2013\Kabupaten Paser\Kecamatan Grogot\ptn_grogot.shp,Kalimantan Timur,Grogot,ptn_grogot.shp,ptn_grogot
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2010\Kabupaten Parigi Moutong\Kecamatan Parigi Tengah\ptn_parigiTengah.shp,Sulawesi Tengah,Parigi_Tengah,ptn_parigiTengah.shp,ptn_parigiTengah
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2010\Kabupaten Parigi Moutong\Kecamatan Parigi Utara\ptn_parigiUtara.shp,Sulawesi Tengah,Parigi_Utara,ptn_parigiUtara.shp,ptn_parigiUtara
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2010\Kabupaten Tojo Una Una\Kecamatan Tojo\ptn_tojo.shp,Sulawesi Tengah,Tojo,ptn_tojo.shp,ptn_tojo
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2010\Kabupaten Tojo Una Una\Kecamatan Ulubongka\ptn_ulubongka.shp,Sulawesi Tengah,Ulubongka,ptn_ulubongka.shp,ptn_ulubongka
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2011\Banggai\Kecamatan Bunto\ptn_bunta.shp,Sulawesi Tengah,Bunto,ptn_bunta.shp,ptn_bunta
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2011\Banggai\Kecamatan Nuhon\ptn_nuhon.shp,Sulawesi Tengah,Nuhon,ptn_nuhon.shp,ptn_nuhon
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2011\Tojo Una-Una\Kecamatan Ampana Kota\ptn-ampanaKota.shp,Sulawesi Tengah,Ampana_Kota,ptn-ampanaKota.shp,ptn-ampanaKota
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2011\Tojo Una-Una\Kecamatan Ampana Tete\ptn_ampanaTete.shp,Sulawesi Tengah,Ampana_Tete,ptn_ampanaTete.shp,ptn_ampanaTete
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2011\Tojo Una-Una\Kecamatan Tojo Barat\ptn_tojoBarat.shp,Sulawesi Tengah,Tojo_Barat,ptn_tojoBarat.shp,ptn_tojoBarat
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2012\Kabupaten Parigi Mountong\Kecamatan Ambibabo\ptn_ambibabo.shp,Sulawesi Tengah,Ambibabo,ptn_ambibabo.shp,ptn_ambibabo
F:\WP3WT\@ Integrasi Data\2013\26 Sulteng\2012\Kabupaten Parigi Mountong\Kecamatan Kasimbar\ptn_kasimbar.shp,Sulawesi Tengah,Kasimbar,ptn_kasimbar.shp,ptn_kasimbar
