a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Kolepon\PEMILIKAN\m_kolepon.shp,"['NAMA_PULAU', 'PGN', 'PENGGUNAAN', 'M_KODE', 'PEMILIKAN']",2,Pulau,2017,Papua,,Pulau Kolepon,,,,Kolepon,Kolepon,,,,
,C:\WP3WT\PPKT\SHP\Intata\intata_pemilikan.shp,"['NO_ID', 'KODE_PEMIL', 'STATUS_TNH', 'TIPE_STATU', 'KETERANGAN', 'text', 'text_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Intata,,,,Intata,Intata,,,,
,C:\WP3WT\PPKT\SHP\Kakorotan atau kakarutan\kakorotan_pemilikan.shp,"['NO_ID', 'KODE_PEMIL', 'STATUS_TNH', 'TIPE_STATU', 'KETERANGAN', 'text', 'text_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Kakorotan,,,,Kakorotan,Kakorotan,,,,
,C:\WP3WT\PPKT\SHP\Marampit\marampit_pemilikan.shp,"['NO_ID', 'KODE_PEMIL', 'STATUS_TNH', 'TIPE_STATU', 'KETERANGAN', 'text', 'text_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Marampit,,,,Marampit,Marampit,,,,
,C:\WP3WT\PPKT\SHP\Bras\SHP\Pemilikan_region.shp,"['NO_ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIK', 'PEMILIK0', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2']",2,Pulau,2017,Papua,,Pulau Bras,,,,Bras,Bras,,,,
,C:\WP3WT\PPKT\SHP\Fanildo\SHP\Pemilikan_region.shp,"['NO_ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIK', 'PEMILIK0', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2']",2,Pulau,2017,Papua,,Pulau Fanildo,,,,Fanildo,Fanildo,,,,
,C:\WP3WT\PPKT\SHP\Damar\Pemilikan_Damar.shp,"['NO_IDEN', 'NO_SU', 'LUAS_M2', 'ALAMAT_BID', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS_TAN', 'TIPE_STATU', 'NO_STATUS', 'TAHUN', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Damar,,,,Damar,Damar,,,,
,C:\WP3WT\PPKT\SHP\Sentut\Pemilikan_Sentut.shp,"['NO_IDEN', 'NO_SU', 'LUAS_M2', 'ALAMAT_BID', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS_TAN', 'TIPE_STATU', 'NO_STATUS', 'TAHUN', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Sentut,,,,Sentut,Sentut,,,,
,C:\WP3WT\PPKT\SHP\Tokong Malang Biru\Pemilikan_Malangbiru.shp,"['NO_IDEN', 'NO_SU', 'LUAS_M2', 'ALAMAT_BID', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS_TAN', 'TIPE_STATU', 'NO_STATUS', 'TAHUN', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau TokongMalangBiru,,,,TokongMalangBiru,TokongMalangBiru,,,,
,C:\WP3WT\PPKT\SHP\PULAU_BATEK\Pemilikan_tanah_P_batek.shp,"['NO_IDENTIF', 'NO_SU', 'LUAS', 'ALAMAT_BID', 'NAMA', 'WARGA_NEGA', 'PROFESI', 'DOMISILI', 'STATUS_TAN', 'NO_STATUS_', 'TAHUN', 'KETERANGAN', 'TEXT', 'LUAS_1']",2,Pulau,2017,NTT,,Pulau Batek,,,,Batek,Batek,,,,
,C:\WP3WT\PPKT\SHP\P. MARORE BATUBAWAIKANG\Pemilikan Tanah_Marore.shp,"['No_SU', 'Luas__M2_', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tnh', 'T_Stat_Tnh', 'No_Sta_Tnh', 'Tahun', 'Th_Peng_Tn', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'NIB', 'Msl_Ptnh']",2,Pulau,2017,Sulawesi Utara,,Pulau Marore,,,,Marore,Marore,,,,
,C:\WP3WT\PPKT\SHP\P. MARORE BATUBAWAIKANG\Pemilikan Tanah_Marore.shp,"['No_SU', 'Luas__M2_', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tnh', 'T_Stat_Tnh', 'No_Sta_Tnh', 'Tahun', 'Th_Peng_Tn', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'NIB', 'Msl_Ptnh']",2,Pulau,2017,Sulawesi Utara,,Pulau BatuBawaikang,,,,BatuBawaikang,BatuBawaikang,,,,
,C:\WP3WT\PPKT\SHP\Kawalusu\Pemilikan Tanah_Kawaluso.shp,"['No_SU', 'Luas__M2_', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tnh', 'T_Stat_Tnh', 'No_Sta_Tnh', 'Tahun', 'Th_Peng_Tn', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'NIB', 'Mslh_Ptnh']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawalusu,,,,Kawalusu,Kawalusu,,,,
,C:\WP3WT\PPKT\SHP\Kawio\Pemilikan Tanah_Kawio.shp,"['No_SU', 'Luas__M2_', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tnh', 'T_Stat_Tnh', 'No_Sta_Tnh', 'Tahun', 'Th_Peng_Tn', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'NIB', 'Mslh_Ptnh']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawio,,,,Kawio,Kawio,,,,
,C:\WP3WT\PPKT\SHP\P. MAKALEHI\Pemilikan Tanah_Makalehi.shp,"['No_SU', 'Luas__M2_', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tnh', 'T_Stat_Tnh', 'No_Sta_Tnh', 'Tahun', 'Th_Peng_Tn', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'NIB', 'Mslh_Ptnh']",2,Pulau,2017,Sulawesi Utara,,Pulau Makalehi,,,,Makalehi,Makalehi,,,,
